"Model","Accuracy","Sensitivity","Specificity","Brier_Score","Pseudo_R2"
"Simple: hormone8",0.86050566695728,NA,NA,0.118651214563799,0.0154332046917677
"All Hormones",0.86050566695728,NA,NA,0.117514535646422,0.0297465006886207
"Stepwise (BIC)",0.86050566695728,NA,NA,0.118651214563799,0.0154332046917677
"Forward (AIC)",0.86050566695728,NA,NA,0.117797478098903,0.0256327256000564
